"ID";"pattern";"year";"frequency";"weight";"order";"specificity";"status";"degree"
1;"3146";2014;4;5;1;0,0390359525563187;"Emergent";6
2;"""931"", ""3180""";2014;3;3;2;0,207518749639422;"Emergent";5
3;"497";2015;3;3;1;0,207518749639422;"Emergent";5
4;"252";2016;3;3;1;0,207518749639422;"Persistent";2
5;"25";2016;2;3;1;0,540852082972755;"Persistent";2
6;"""25"", ""192"", ""328""";2016;1;2;3;1;"Emergent";2
7;"""497"", ""931"", ""3180"", ""3345""";2015;2;2;4;0,5;"Emergent";8
8;"""402"", ""3146""";2014;2;2;2;0,5;"Emergent";6
9;"""931"", ""3146"", ""3180""";2014;2;2;3;0,5;"Emergent";9
10;"""497"", ""3146""";2015;2;2;2;0,5;"Emergent";9
11;"3157";2015;2;2;1;0,5;"Persistent";2
12;"""3157"", ""3350""";2018;1;1;2;1;"Persistent";2
13;"""57"", ""77""";2013;1;1;2;1;"Emergent";0
14;"""49"", ""163"", ""1603""";2016;1;1;3;1;"Emergent";0
15;"""25"", ""27"", ""252""";2018;1;1;3;1;"Persistent";4
16;"""71"", ""402"", ""931"", ""3146"", ""3180""";2014;1;1;5;1;"Emergent";9
17;"""497"", ""931"", ""3157"", ""3180"", ""3345""";2015;1;1;5;1;"Emergent";10
18;"""19"", ""87"", ""252"", ""402"", ""497"", ""929"", ""930"", ""3146"", ""3156""";2016;1;1;9;1;"Emergent";11
19;"""497"", ""931"", ""3146"", ""3180"", ""3345""";2015;1;1;5;1;"Emergent";10
20;"148";2011;1;1;1;1;"Emergent";0
